workerID,gender,age,income,language,order,animalID,animal,QUD,condition,isMetaphor,rating
8,M,35,4,English,9,5,panda,big,figurative,T,0.37
8,M,35,4,English,10,7,penguin,cute,figurative,F,null
8,M,35,4,English,11,2,whale,big,figurative,T,1
8,M,35,4,English,12,6,monkey,null,literal,F,null
9,M,35,4,English,1,2,whale,null,figurative,T,0.85
9,M,35,4,English,2,1,ant,small,figurative,T,0.91
9,M,35,4,English,3,8,giraffe,null,figurative,F,null
9,M,35,4,English,4,6,monkey,smart,figurative,T,0.87
9,M,35,4,English,5,9,cheetah,agile,literal,F,null
9,M,35,4,English,6,7,penguin,cute,figurative,T,0.92
9,M,35,4,English,7,10,turtle,slow,literal,F,null
9,M,35,4,English,8,12,rabbit,cute,figurative,T,0.15
9,M,35,4,English,9,3,bird,small,figurative,T,0.82
9,M,35,4,English,10,4,elephant,hard,figurative,T,0.17
9,M,35,4,English,11,5,panda,null,literal,F,null
9,M,35,4,English,12,11,lion,strong,figurative,T,0.96
10,F,25,6,english,1,11,lion,fierce,figurative,T,0.87
10,F,25,6,english,2,6,monkey,null,figurative,T,0.85
10,F,25,6,english,3,1,ant,industrious,figurative,T,0.26
10,F,25,6,english,4,4,elephant,hard,literal,F,null
10,F,25,6,english,5,2,whale,big,figurative,T,0.81
10,F,25,6,english,6,3,bird,null,figurative,T,0.12
10,F,25,6,english,7,5,panda,big,figurative,T,0.19
10,F,25,6,english,8,7,penguin,funny,literal,F,null
10,F,25,6,english,9,12,rabbit,cute,figurative,T,0.11
10,F,25,6,english,10,10,turtle,null,figurative,T,0.13
10,F,25,6,english,11,8,giraffe,null,figurative,T,0.1
10,F,25,6,english,12,9,cheetah,agile,literal,F,null
11,M,45,6,English,1,2,whale,big,figurative,T,1
11,M,45,6,English,2,5,panda,big,figurative,T,0.49
11,M,45,6,English,3,7,penguin,cute,figurative,T,0.35
11,M,45,6,English,4,6,monkey,smart,figurative,T,1
11,M,45,6,English,5,11,lion,strong,figurative,T,1
11,M,45,6,English,6,4,elephant,big,figurative,T,1
11,M,45,6,English,7,3,bird,fast,figurative,T,0.5
11,M,45,6,English,8,1,ant,small,literal,F,null
11,M,45,6,English,9,9,cheetah,null,literal,F,null
11,M,45,6,English,10,10,turtle,strong,figurative,T,0.3
11,M,45,6,English,11,8,giraffe,long,literal,F,null
11,M,45,6,English,12,12,rabbit,cute,figurative,T,0.76
12,M,25,4,English,1,5,panda,big,literal,T,0
12,M,25,4,English,2,2,whale,null,literal,F,null
12,M,25,4,English,3,6,monkey,smart,literal,F,null
12,M,25,4,English,4,1,ant,industrious,figurative,T,0.41
12,M,25,4,English,5,3,bird,fast,figurative,T,0.12
12,M,25,4,English,6,8,giraffe,tall,figurative,T,0.46
12,M,25,4,English,7,7,penguin,cute,figurative,T,0
12,M,25,4,English,8,4,elephant,null,figurative,T,0
12,M,25,4,English,9,9,cheetah,fast,figurative,T,0.36
12,M,25,4,English,10,11,lion,fierce,figurative,T,0.52
12,M,25,4,English,11,12,rabbit,fast,figurative,T,0.12
12,M,25,4,English,12,10,turtle,strong,figurative,T,0.21
