animalID,animal,featureID,feature,alternatives,numAlts
12,rabbit,23,playful,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
13,mouse,1,small,ant;mouse;cat;man,4
13,mouse,2,industrious,ant;mouse;cat;man,4
13,mouse,7,cute,ant;mouse;cat;man,4
13,mouse,16,quiet,ant;mouse;cat;man,4
13,mouse,20,lazy,ant;mouse;cat;man,4
14,beaver,1,small,ant;beaver;monkey;bee;man,5
14,beaver,2,industrious,ant;beaver;monkey;bee;man,5
14,beaver,5,fast,ant;beaver;monkey;bee;man,5
14,beaver,8,funny,ant;beaver;monkey;bee;man,5
14,beaver,9,smart,ant;beaver;monkey;bee;man,5
14,beaver,17,busy,ant;beaver;monkey;bee;man,5
15,horse,3,big,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
15,horse,5,fast,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
15,horse,6,hard,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
15,horse,12,agile,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
15,horse,14,strong,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
15,horse,19,sleek,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
15,horse,28,hairy,horse;jaguar;bear;gorilla;elephant;cheetah;man,7
16,eagle,4,majestic,eagle;lion;horse;cat;man,5
16,eagle,5,fast,eagle;lion;horse;cat;man,5
16,eagle,7,cute,eagle;lion;horse;cat;man,5
16,eagle,14,strong,eagle;lion;horse;cat;man,5
16,eagle,15,fierce,eagle;lion;horse;cat;man,5
16,eagle,18,proud,eagle;lion;horse;cat;man,5
16,eagle,20,lazy,eagle;lion;horse;cat;man,5
17,jaguar,5,fast,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,7,cute,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,9,smart,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,11,long,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,12,agile,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,14,strong,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,19,sleek,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,20,lazy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,25,happy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,26,slithery,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,30,slippery,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,31,slimy,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
17,jaguar,32,scaly,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,10
18,armadillo,6,hard,turtle;sloth;armadillo;man,4
18,armadillo,13,slow,turtle;sloth;armadillo;man,4
18,armadillo,14,strong,turtle;sloth;armadillo;man,4
18,armadillo,20,lazy,turtle;sloth;armadillo;man,4
19,cat,7,cute,sloth;kitten;dog;cat;man,5
19,cat,13,slow,sloth;kitten;dog;cat;man,5
19,cat,20,lazy,sloth;kitten;dog;cat;man,5
19,cat,21,loyal,sloth;kitten;dog;cat;man,5
19,cat,22,friendly,sloth;kitten;dog;cat;man,5
19,cat,23,playful,sloth;kitten;dog;cat;man,5
20,dog,7,cute,dog;cat;man,3
20,dog,20,lazy,dog;cat;man,3
20,dog,21,loyal,dog;cat;man,3
20,dog,22,friendly,dog;cat;man,3
21,kitten,7,cute,kitten;dog;cat;man,4
21,kitten,20,lazy,kitten;dog;cat;man,4
21,kitten,21,loyal,kitten;dog;cat;man,4
21,kitten,22,friendly,kitten;dog;cat;man,4
21,kitten,23,playful,kitten;dog;cat;man,4
22,hyena,1,small,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,5,fast,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,7,cute,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,8,funny,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,9,smart,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,14,strong,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,15,fierce,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,20,lazy,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,21,loyal,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,22,friendly,monkey;dog;cat;hyena;lion;bird;man,7
22,hyena,24,loud,monkey;dog;cat;hyena;lion;bird;man,7
23,dolphin,1,small,dolphin;dog;bird;man,4
23,dolphin,5,fast,dolphin;dog;bird;man,4
23,dolphin,9,smart,dolphin;dog;bird;man,4
23,dolphin,21,loyal,dolphin;dog;bird;man,4
23,dolphin,22,friendly,dolphin;dog;bird;man,4
23,dolphin,25,happy,dolphin;dog;bird;man,4
24,snake,10,tall,sloth;giraffe;snake;man,4
24,snake,11,long,sloth;giraffe;snake;man,4
24,snake,13,slow,sloth;giraffe;snake;man,4
24,snake,20,lazy,sloth;giraffe;snake;man,4
24,snake,26,slithery,sloth;giraffe;snake;man,4
25,deer,1,small,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,3,big,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,5,fast,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,7,cute,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,12,agile,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,13,slow,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,14,strong,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,16,quiet,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,19,sleek,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,20,lazy,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,21,loyal,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,22,friendly,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,27,dumb,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,33,stubborn,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,34,fat,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
25,deer,35,dirty,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,14
26,sloth,7,cute,turtle;sloth;cat;man,4
26,sloth,13,slow,turtle;sloth;cat;man,4
26,sloth,14,strong,turtle;sloth;cat;man,4
26,sloth,20,lazy,turtle;sloth;cat;man,4
27,gorilla,3,big,monkey;bear;cat;gorilla;elephant;whale;man,7
27,gorilla,4,majestic,monkey;bear;cat;gorilla;elephant;whale;man,7
27,gorilla,6,hard,monkey;bear;cat;gorilla;elephant;whale;man,7
27,gorilla,7,cute,monkey;bear;cat;gorilla;elephant;whale;man,7
27,gorilla,8,funny,monkey;bear;cat;gorilla;elephant;whale;man,7
27,gorilla,9,smart,monkey;bear;cat;gorilla;elephant;whale;man,7
27,gorilla,14,strong,monkey;bear;cat;gorilla;elephant;whale;man,7
27,gorilla,20,lazy,monkey;bear;cat;gorilla;elephant;whale;man,7
27,gorilla,28,hairy,monkey;bear;cat;gorilla;elephant;whale;man,7
28,bear,3,big,gorilla;whale;horse;bear;elephant;man,6
28,bear,4,majestic,gorilla;whale;horse;bear;elephant;man,6
28,bear,5,fast,gorilla;whale;horse;bear;elephant;man,6
28,bear,6,hard,gorilla;whale;horse;bear;elephant;man,6
28,bear,14,strong,gorilla;whale;horse;bear;elephant;man,6
28,bear,28,hairy,gorilla;whale;horse;bear;elephant;man,6
29,tiger,5,fast,tiger;lion;zebra;man,4
