category,slithery,tall,strong,long,fast,prob
giraffe,2,0,1,1,0,0.0000029788239225414145
giraffe,2,0,1,1,1,0.0000029788239225414145
giraffe,2,0,1,1,2,0.0000029788239225414145
giraffe,2,0,1,2,0,0.000007474675365038494
giraffe,2,0,1,2,1,0.000007474675365038494
giraffe,2,0,1,2,2,0.000007474675365038494
giraffe,2,0,2,0,0,5.506176760239988e-7
giraffe,2,0,2,0,1,5.506176760239988e-7
giraffe,2,0,2,0,2,5.506176760239988e-7
giraffe,2,0,2,1,0,0.0000029788239225414145
giraffe,2,0,2,1,1,0.0000029788239225414145
giraffe,2,0,2,1,2,0.0000029788239225414145
giraffe,2,0,2,2,0,0.000007474675365038494
giraffe,2,0,2,2,1,0.000007474675365038494
giraffe,2,0,2,2,2,0.000007474675365038494
giraffe,2,1,0,0,0,0.0000017294815403979192
giraffe,2,1,0,0,1,0.0000017294815403979192
giraffe,2,1,0,0,2,0.0000017294815403979192
giraffe,2,1,0,1,0,0.000009324614329253847
giraffe,2,1,0,1,1,0.000009324614329253847
giraffe,2,1,0,1,2,0.000009324614329253847
giraffe,2,1,0,2,0,0.00002327793973070064
giraffe,2,1,0,2,1,0.00002327793973070064
giraffe,2,1,0,2,2,0.00002327793973070064
giraffe,2,1,1,0,0,0.0000017294815403979192
giraffe,2,1,1,0,1,0.0000017294815403979192
giraffe,2,1,1,0,2,0.0000017294815403979192
giraffe,2,1,1,1,0,0.000009324614329253847
giraffe,2,1,1,1,1,0.000009324614329253847
giraffe,2,1,1,1,2,0.000009324614329253847
giraffe,2,1,1,2,0,0.00002327793973070064
giraffe,2,1,1,2,1,0.00002327793973070064
giraffe,2,1,1,2,2,0.00002327793973070064
giraffe,2,1,2,0,0,0.0000017294815403979192
giraffe,2,1,2,0,1,0.0000017294815403979192
giraffe,2,1,2,0,2,0.0000017294815403979192
giraffe,2,1,2,1,0,0.000009324614329253847
giraffe,2,1,2,1,1,0.000009324614329253847
giraffe,2,1,2,1,2,0.000009324614329253847
giraffe,2,1,2,2,0,0.00002327793973070064
giraffe,2,1,2,2,1,0.00002327793973070064
giraffe,2,1,2,2,2,0.00002327793973070064
giraffe,2,2,0,0,0,0.000013688979518338597
giraffe,2,2,0,0,1,0.000013688979518338597
giraffe,2,2,0,0,2,0.000013688979518338597
giraffe,2,2,0,1,0,0.00007273387289769992
giraffe,2,2,0,1,1,0.00007273387289769992
giraffe,2,2,0,1,2,0.00007273387289769992
giraffe,2,2,0,2,0,0.00017751851234844022
giraffe,2,2,0,2,1,0.00017751851234844022
giraffe,2,2,0,2,2,0.00017751851234844022
giraffe,2,2,1,0,0,0.000013688979518338597
giraffe,2,2,1,0,1,0.000013688979518338597
giraffe,2,2,1,0,2,0.000013688979518338597
giraffe,2,2,1,1,0,0.00007273387289769992
giraffe,2,2,1,1,1,0.00007273387289769992
giraffe,2,2,1,1,2,0.00007273387289769992
giraffe,2,2,1,2,0,0.00017751851234844022
giraffe,2,2,1,2,1,0.00017751851234844022
giraffe,2,2,1,2,2,0.00017751851234844022
giraffe,2,2,2,0,0,0.000013688979518338597
giraffe,2,2,2,0,1,0.000013688979518338597
giraffe,2,2,2,0,2,0.000013688979518338597
giraffe,2,2,2,1,0,0.00007273387289769992
giraffe,2,2,2,1,1,0.00007273387289769992
giraffe,2,2,2,1,2,0.00007273387289769992
giraffe,2,2,2,2,0,0.00017751851234844022
giraffe,2,2,2,2,1,0.00017751851234844022
giraffe,2,2,2,2,2,0.00017751851234844022
snake,0,0,0,0,0,0.000015727128026113105
snake,0,0,0,0,1,0.000015727128026113105
snake,0,0,0,0,2,0.000015727128026113105
snake,0,0,0,1,0,0.000043333257008120196
snake,0,0,0,1,1,0.000043333257008120196
snake,0,0,0,1,2,0.000043333257008120196
snake,0,0,0,2,0,0.00005564467720000812
snake,0,0,0,2,1,0.00005564467720000812
snake,0,0,0,2,2,0.00005564467720000812
snake,0,0,1,0,0,0.000015727128026113105
snake,0,0,1,0,1,0.000015727128026113105
snake,0,0,1,0,2,0.000015727128026113105
snake,0,0,1,1,0,0.000043333257008120196
snake,0,0,1,1,1,0.000043333257008120196
snake,0,0,1,1,2,0.000043333257008120196
snake,0,0,1,2,0,0.00005564467720000812
snake,0,0,1,2,1,0.00005564467720000812
snake,0,0,1,2,2,0.00005564467720000812
snake,0,0,2,0,0,0.000015727128026113105
snake,0,0,2,0,1,0.000015727128026113105
snake,0,0,2,0,2,0.000015727128026113105
snake,0,0,2,1,0,0.000043333257008120196
snake,0,0,2,1,1,0.000043333257008120196
snake,0,0,2,1,2,0.000043333257008120196
snake,0,0,2,2,0,0.00005564467720000812
snake,0,0,2,2,1,0.00005564467720000812
snake,0,0,2,2,2,0.00005564467720000812
snake,0,1,0,0,0,8.265393707122563e-7
snake,0,1,0,0,1,8.265393707122563e-7
snake,0,1,0,0,2,8.265393707122563e-7
snake,0,1,0,1,0,0.0000022446216243852473
snake,0,1,0,1,1,0.0000022446216243852473
snake,0,1,0,1,2,0.0000022446216243852473
snake,0,1,0,2,0,0.0000028308797287608618
snake,0,1,0,2,1,0.0000028308797287608618
snake,0,1,0,2,2,0.0000028308797287608618
snake,0,1,1,0,0,8.265393707122563e-7
snake,0,1,1,0,1,8.265393707122563e-7
snake,0,1,1,0,2,8.265393707122563e-7
snake,0,1,1,1,0,0.0000022446216243852473
snake,0,1,1,1,1,0.0000022446216243852473
