category,cute,big,prob
dog,3,2,0.00004468100850843037
dog,3,3,0.00007887369631179937
dog,3,4,0.000008975963081806683
dog,3,5,0.000005429479033914544
dog,4,0,0.0000788854835677096
dog,4,1,0.0001540429648825982
dog,4,2,0.00015907316855211562
dog,4,3,0.00023029176309628184
dog,4,4,0.000033916854683893156
dog,4,5,0.000024459563889514144
dog,5,0,0.00004186951214373236
dog,5,1,0.00008047702231624646
dog,5,2,0.00010298197451241659
dog,5,3,0.00018340176872390425
dog,5,4,0.000020625485855735347
dog,5,5,0.000012350356410653708
cat,0,0,0.0000036000806068910175
cat,0,1,0.000001117030086782814
cat,0,2,0.000006402454333381254
cat,0,3,0.000011556350120724446
cat,0,4,0.00000140272176269345
cat,0,5,2.205604133960758e-7
cat,1,0,0.0000042619609088241886
cat,1,1,0.0000013652352000077532
cat,1,2,0.000006650659446606194
cat,1,3,0.000011639085158466092
cat,1,4,0.0000014854568004350958
cat,1,5,3.0329545113772156e-7
cat,2,0,0.00008569274903159154
cat,2,1,0.0000314357804644428
cat,2,2,0.00004729205320423814
cat,2,3,0.000044030613763538315
cat,2,4,0.000013569728689445174
cat,2,5,0.000010023244641553035
cat,3,0,0.00006525683222731138
cat,3,1,0.000023539311522036448
cat,3,2,0.00004468100850843021
cat,3,3,0.00005258246420786637
cat,3,4,0.00001196795077574223
cat,3,5,0.000007239305378552716
cat,4,0,0.00021036128951389243
cat,4,1,0.00007702148244129908
cat,4,2,0.00011930487641408662
cat,4,3,0.0001151458815481413
cat,4,4,0.000033916854683893156
cat,4,5,0.000024459563889514144
cat,5,0,0.00009570174204281701
cat,5,1,0.00003449015242124845
cat,5,2,0.00006620269790083908
cat,5,3,0.0000786007580245305
cat,5,4,0.000017678987876344542
cat,5,5,0.000010586019780560297
kitten,0,0,0.000004500100758613769
kitten,0,1,7.446867245218739e-7
kitten,0,2,0.000004268302888920824
kitten,0,3,0.000011556350120724467
kitten,0,4,0.00000140272176269345
kitten,0,5,2.205604133960758e-7
kitten,1,0,0.000005327451136030231
kitten,1,1,9.10156800005166e-7
kitten,1,2,0.0000044337729644041164
kitten,1,3,0.000011639085158466116
kitten,1,4,0.0000014854568004350965
kitten,1,5,3.0329545113772235e-7
kitten,2,0,0.000035705312096496336
kitten,2,1,0.00000698572899209837
kitten,2,2,0.000010509345156497322
kitten,2,3,0.000014676871254512729
kitten,2,4,0.000004523242896481708
kitten,2,5,0.0000033410815471843344
kitten,3,0,0.00008157104028413915
kitten,3,1,0.00001569287434802428
kitten,3,2,0.000029787339005620106
kitten,3,3,0.00005258246420786637
kitten,3,4,0.00001196795077574223
kitten,3,5,0.000007239305378552716
kitten,4,0,0.00009860685445963727
kitten,4,1,0.00001925537061032477
kitten,4,2,0.00002982621910352165
kitten,4,3,0.000043179705580553105
kitten,4,4,0.000012718820506459968
kitten,4,5,0.000009172336458567829
kitten,5,0,0.00025919221803262916
kitten,5,1,0.000049819109052914294
kitten,5,2,0.00009562611919010062
kitten,5,3,0.00017030164238648337
kitten,5,4,0.00003830447373207998
kitten,5,5,0.000022936376191214063
whale,0,0,0.0000036000806068910175
whale,0,1,0.000002978746898087507
whale,0,2,0.0000341464231113666
