workerID,gender,age,income,language,order,item,dimension,bin,prior
4,M,35,6,English,1,hamster,height,4,0.0102040816327
4,M,35,6,English,1,hamster,height,4.5,0.0
4,M,35,6,English,1,hamster,height,5,0.0102040816327
4,M,35,6,English,1,hamster,height,5.5,0.0
4,M,35,6,English,1,hamster,height,6,0.0
4,M,35,6,English,1,hamster,height,6.5,0.0
4,M,35,6,English,1,hamster,height,7,0.0
4,M,35,6,English,1,hamster,height,15,0.0
4,M,35,6,English,2,elephant,weight,0,0.0352303523035
4,M,35,6,English,2,elephant,weight,10,0.070460704607
4,M,35,6,English,2,elephant,weight,100,0.0785907859079
4,M,35,6,English,2,elephant,weight,120,0.0921409214092
4,M,35,6,English,2,elephant,weight,140,0.0948509485095
4,M,35,6,English,2,elephant,weight,160,0.113821138211
4,M,35,6,English,2,elephant,weight,180,0.111111111111
4,M,35,6,English,2,elephant,weight,200,0.143631436314
4,M,35,6,English,2,elephant,weight,220,0.254742547425
4,M,35,6,English,2,elephant,weight,10000,0.00542005420054
4,M,35,6,English,3,man,height,0,0.0
4,M,35,6,English,3,man,height,0.5,0.0
4,M,35,6,English,3,man,height,4,0.0338983050847
4,M,35,6,English,3,man,height,4.5,0.122881355932
4,M,35,6,English,3,man,height,5,0.233050847458
4,M,35,6,English,3,man,height,5.5,0.360169491525
4,M,35,6,English,3,man,height,6,0.152542372881
4,M,35,6,English,3,man,height,6.5,0.0677966101695
4,M,35,6,English,3,man,height,7,0.0296610169492
4,M,35,6,English,3,man,height,15,0.0
4,M,35,6,English,4,bird,weight,0,0.776
4,M,35,6,English,4,bird,weight,10,0.2
4,M,35,6,English,4,bird,weight,100,0.016
4,M,35,6,English,4,bird,weight,120,0.0
4,M,35,6,English,4,bird,weight,140,0.0
4,M,35,6,English,4,bird,weight,160,0.008
4,M,35,6,English,4,bird,weight,180,0.0
4,M,35,6,English,4,bird,weight,200,0.0
4,M,35,6,English,4,bird,weight,220,0.0
4,M,35,6,English,4,bird,weight,10000,0.0
4,M,35,6,English,5,giraffe,height,0,0.0
4,M,35,6,English,5,giraffe,height,0.5,0.0
4,M,35,6,English,5,giraffe,height,4,0.00316455696203
4,M,35,6,English,5,giraffe,height,4.5,0.0632911392405
4,M,35,6,English,5,giraffe,height,5,0.0727848101266
4,M,35,6,English,5,giraffe,height,5.5,0.0822784810127
4,M,35,6,English,5,giraffe,height,6,0.107594936709
4,M,35,6,English,5,giraffe,height,6.5,0.158227848101
4,M,35,6,English,5,giraffe,height,7,0.224683544304
4,M,35,6,English,5,giraffe,height,15,0.287974683544
4,M,35,6,English,6,cheetah,speed,0,0.0986920332937
4,M,35,6,English,6,cheetah,speed,1,0.0998810939358
4,M,35,6,English,6,cheetah,speed,5,0.0975029726516
4,M,35,6,English,6,cheetah,speed,10,0.0998810939358
4,M,35,6,English,6,cheetah,speed,12,0.0986920332937
4,M,35,6,English,6,cheetah,speed,14,0.101070154578
4,M,35,6,English,6,cheetah,speed,16,0.101070154578
4,M,35,6,English,6,cheetah,speed,18,0.101070154578
4,M,35,6,English,6,cheetah,speed,20,0.101070154578
