animal,feature,featureType,question,bin,Freq
bird,quiet,expanded,small,3,0.142857142857143
bird,quiet,expanded,small,4,0.285714285714286
bird,sleek,expanded,fast,0,0.25
bird,sleek,expanded,fast,1,0.125
bird,sleek,expanded,fast,2,0.25
bird,sleek,expanded,fast,3,0.25
bird,sleek,expanded,fast,4,0.125
bird,sleek,expanded,general,0,0.133333333333333
bird,sleek,expanded,general,1,0.133333333333333
bird,sleek,expanded,general,2,0.2
bird,sleek,expanded,general,3,0.2
bird,sleek,expanded,general,4,0.333333333333333
bird,sleek,expanded,small,0,0.142857142857143
bird,sleek,expanded,small,1,0.142857142857143
bird,sleek,expanded,small,2,0.285714285714286
bird,sleek,expanded,small,3,0.142857142857143
bird,sleek,expanded,small,4,0.285714285714286
bird,small,core,fast,0,0.375
bird,small,core,fast,1,0.125
bird,small,core,fast,2,0.25
bird,small,core,fast,3,0.125
bird,small,core,fast,4,0.125
bird,small,core,general,0,0.133333333333333
bird,small,core,general,1,0.133333333333333
bird,small,core,general,2,0.266666666666667
bird,small,core,general,3,0.2
bird,small,core,general,4,0.266666666666667
bird,small,core,small,0,0.142857142857143
bird,small,core,small,1,0.142857142857143
bird,small,core,small,2,0.142857142857143
bird,small,core,small,3,0.142857142857143
bird,small,core,small,4,0.428571428571429
cheetah,agile,core,agile,0,0.142857142857143
cheetah,agile,core,agile,1,0.142857142857143
cheetah,agile,core,agile,2,0.142857142857143
cheetah,agile,core,agile,3,0.142857142857143
cheetah,agile,core,agile,4,0.428571428571429
cheetah,agile,core,fast,0,0.125
cheetah,agile,core,fast,1,0.125
cheetah,agile,core,fast,2,0.125
cheetah,agile,core,fast,3,0.25
cheetah,agile,core,fast,4,0.375
cheetah,agile,core,general,0,0.153846153846154
cheetah,agile,core,general,1,0.0769230769230769
cheetah,agile,core,general,2,0.0769230769230769
cheetah,agile,core,general,3,0.153846153846154
cheetah,agile,core,general,4,0.538461538461538
cheetah,cute,expanded,agile,0,0.428571428571429
cheetah,cute,expanded,agile,1,0.142857142857143
cheetah,cute,expanded,agile,2,0.142857142857143
cheetah,cute,expanded,agile,3,0.142857142857143
cheetah,cute,expanded,agile,4,0.142857142857143
cheetah,cute,expanded,fast,0,0.125
cheetah,cute,expanded,fast,1,0.25
cheetah,cute,expanded,fast,2,0.375
cheetah,cute,expanded,fast,3,0.125
cheetah,cute,expanded,fast,4,0.125
cheetah,cute,expanded,general,0,0.230769230769231
cheetah,cute,expanded,general,1,0.153846153846154
cheetah,cute,expanded,general,2,0.307692307692308
cheetah,cute,expanded,general,3,0.230769230769231
cheetah,cute,expanded,general,4,0.0769230769230769
cheetah,dumb,expanded,agile,0,0.428571428571429
cheetah,dumb,expanded,agile,1,0.142857142857143
cheetah,dumb,expanded,agile,2,0.142857142857143
cheetah,dumb,expanded,agile,3,0.142857142857143
cheetah,dumb,expanded,agile,4,0.142857142857143
cheetah,dumb,expanded,fast,0,0.25
cheetah,dumb,expanded,fast,1,0.25
cheetah,dumb,expanded,fast,2,0.25
cheetah,dumb,expanded,fast,3,0.125
cheetah,dumb,expanded,fast,4,0.125
cheetah,dumb,expanded,general,0,0.384615384615385
cheetah,dumb,expanded,general,1,0.153846153846154
cheetah,dumb,expanded,general,2,0.307692307692308
cheetah,dumb,expanded,general,3,0.0769230769230769
cheetah,dumb,expanded,general,4,0.0769230769230769
cheetah,fast,core,agile,0,0.142857142857143
cheetah,fast,core,agile,1,0.142857142857143
cheetah,fast,core,agile,2,0.142857142857143
cheetah,fast,core,agile,3,0.142857142857143
cheetah,fast,core,agile,4,0.428571428571429
cheetah,fast,core,fast,0,0.125
cheetah,fast,core,fast,1,0.125
cheetah,fast,core,fast,2,0.125
cheetah,fast,core,fast,3,0.125
cheetah,fast,core,fast,4,0.5
cheetah,fast,core,general,0,0.153846153846154
cheetah,fast,core,general,1,0.0769230769230769
cheetah,fast,core,general,2,0.0769230769230769
cheetah,fast,core,general,3,0.153846153846154
cheetah,fast,core,general,4,0.538461538461538
cheetah,friendly,expanded,agile,0,0.285714285714286
cheetah,friendly,expanded,agile,1,0.142857142857143
cheetah,friendly,expanded,agile,2,0.285714285714286
cheetah,friendly,expanded,agile,3,0.142857142857143
cheetah,friendly,expanded,agile,4,0.142857142857143
cheetah,friendly,expanded,fast,0,0.125
cheetah,friendly,expanded,fast,1,0.5
cheetah,friendly,expanded,fast,2,0.125
cheetah,friendly,expanded,fast,3,0.125
cheetah,friendly,expanded,fast,4,0.125
cheetah,friendly,expanded,general,0,0.230769230769231
cheetah,friendly,expanded,general,1,0.384615384615385
cheetah,friendly,expanded,general,2,0.230769230769231
cheetah,friendly,expanded,general,3,0.0769230769230769
cheetah,friendly,expanded,general,4,0.0769230769230769
cheetah,funny,expanded,agile,0,0.285714285714286
cheetah,funny,expanded,agile,1,0.142857142857143
cheetah,funny,expanded,agile,2,0.285714285714286
cheetah,funny,expanded,agile,3,0.142857142857143
cheetah,funny,expanded,agile,4,0.142857142857143
cheetah,funny,expanded,fast,0,0.25
cheetah,funny,expanded,fast,1,0.25
cheetah,funny,expanded,fast,2,0.25
cheetah,funny,expanded,fast,3,0.125
cheetah,funny,expanded,fast,4,0.125
cheetah,funny,expanded,general,0,0.230769230769231
cheetah,funny,expanded,general,1,0.230769230769231
cheetah,funny,expanded,general,2,0.384615384615385
cheetah,funny,expanded,general,3,0.0769230769230769
cheetah,funny,expanded,general,4,0.0769230769230769
cheetah,industrious,expanded,agile,0,0.285714285714286
cheetah,industrious,expanded,agile,1,0.285714285714286
cheetah,industrious,expanded,agile,2,0.142857142857143
cheetah,industrious,expanded,agile,3,0.142857142857143
cheetah,industrious,expanded,agile,4,0.142857142857143
cheetah,industrious,expanded,fast,0,0.125
cheetah,industrious,expanded,fast,1,0.25
cheetah,industrious,expanded,fast,2,0.375
cheetah,industrious,expanded,fast,3,0.125
cheetah,industrious,expanded,fast,4,0.125
cheetah,industrious,expanded,general,0,0.153846153846154
cheetah,industrious,expanded,general,1,0.153846153846154
cheetah,industrious,expanded,general,2,0.230769230769231
cheetah,industrious,expanded,general,3,0.307692307692308
cheetah,industrious,expanded,general,4,0.153846153846154
cheetah,lazy,expanded,agile,0,0.285714285714286
cheetah,lazy,expanded,agile,1,0.285714285714286
cheetah,lazy,expanded,agile,2,0.142857142857143
