workerid,gender,age,income,categoryID,order,speaker,animal,f1,f2,f3,condition,f1prob,f2prob,f3prob
AIUKV0KVALMY6,F,35,4,12,27,Calvin,elephant,huge,smart,heavy,1,1,0,1
AIUKV0KVALMY6,F,35,4,25,28,Jeff,pig,dirty,fat,smelly,3,1,0.75,1
AIUKV0KVALMY6,F,35,4,1,29,Eric,ant,small,strong,busy,2,1,0,0
AIUKV0KVALMY6,F,35,4,32,30,Ivan,zebra,striped,exotic,fast,4,0.975,0.725,0
AIUKV0KVALMY6,F,35,4,4,31,Charles,bee,busy,small,angry,2,1,0.5,0.7
AIUKV0KVALMY6,F,35,4,23,32,Quinn,ox,strong,big,slow,2,0.725,0.75,0
A2R369ORILTO29,F,55,4,5,1,Jeff,bird,small,graceful,free,1,0.925,0.45,0.325
A2R369ORILTO29,F,55,4,17,2,Jake,goose,loud,mean,annoying,3,0.925,0.675,0.6
A2R369ORILTO29,F,55,4,23,3,Gary,ox,strong,big,slow,1,0.9,0.775,0.35
A2R369ORILTO29,F,55,4,28,4,Steve,sheep,wooly,fluffy,dumb,1,0.825,0.775,0.375
A2R369ORILTO29,F,55,4,26,5,Henry,rabbit,fast,furry,cute,3,0.9,0.3,0.275
A2R369ORILTO29,F,55,4,15,6,Winston,frog,slimy,noisy,jumpy,4,0.875,0.4,0.475
A2R369ORILTO29,F,55,4,1,7,Zach,ant,small,strong,busy,1,0.9,0.175,0.225
A2R369ORILTO29,F,55,4,22,8,Albert,owl,wise,quiet,nocturnal,2,0.625,0.45,0.525
A2R369ORILTO29,F,55,4,31,9,Owen,wolf,scary,mean,angry,1,0.925,0.65,0.45
A2R369ORILTO29,F,55,4,9,10,Barry,dog,loyal,friendly,happy,4,0.9,0.8,0.55
A2R369ORILTO29,F,55,4,10,11,Bob,dolphin,smart,friendly,playful,2,0.575,0.625,0.8
A2R369ORILTO29,F,55,4,2,12,David,bat,scary,blind,nocturnal,4,0.85,0.425,0.15
A2R369ORILTO29,F,55,4,7,13,Nathan,cat,independent,lazy,soft,4,0.875,0.25,0.15
A2R369ORILTO29,F,55,4,3,14,Daniel,bear,scary,big,fierce,3,0.85,0.575,0.775
A2R369ORILTO29,F,55,4,32,15,Quinn,zebra,striped,exotic,fast,2,0.6,0.675,0.65
A2R369ORILTO29,F,55,4,14,16,Ivan,fox,sly,smart,cunning,4,0.9,0.75,0.825
A2R369ORILTO29,F,55,4,29,17,Alex,tiger,striped,fierce,scary,3,0.925,0.575,0.575
A2R369ORILTO29,F,55,4,20,18,Tom,lion,scary,strong,ferocious,3,0.95,0.725,0.85
A2R369ORILTO29,F,55,4,24,19,Harry,penguin,cold,cute,funny,4,0.925,0.575,0.275
A2R369ORILTO29,F,55,4,25,20,Victor,pig,dirty,fat,smelly,1,0.925,0.225,0.6
A2R369ORILTO29,F,55,4,18,21,Frank,horse,fast,strong,beautiful,2,0.825,0.8,0.55
A2R369ORILTO29,F,55,4,12,22,Luke,elephant,huge,smart,heavy,1,0.925,0.25,0.55
A2R369ORILTO29,F,55,4,4,23,Patrick,bee,busy,small,angry,3,0.9,0.175,0.325
A2R369ORILTO29,F,55,4,30,24,Charles,whale,large,graceful,majestic,3,0.925,0.2,0.375
A2R369ORILTO29,F,55,4,6,25,George,buffalo,big,strong,wild,4,0.9,0.625,0.3
A2R369ORILTO29,F,55,4,11,26,Matt,duck,loud,cute,quacking,2,0.525,0.625,0.55
A2R369ORILTO29,F,55,4,8,27,Ethan,cow,fat,lazy,dumb,2,0.7,0.525,0.425
A2R369ORILTO29,F,55,4,19,28,Calvin,kangaroo,jumpy,bouncy,cute,2,0.575,0.675,0.45
A2R369ORILTO29,F,55,4,13,29,Kenneth,fish,scaly,wet,smelly,1,0.925,0.6,0.275
A2R369ORILTO29,F,55,4,27,30,Fred,shark,scary,mean,dangerous,4,0.9,0.75,0.675
A2R369ORILTO29,F,55,4,21,31,Eric,monkey,funny,smart,playful,2,0.575,0.375,0.725
A2R369ORILTO29,F,55,4,16,32,Robert,goat,funny,hungry,loud,3,0.925,0.2,0.275
A26FUTGDW7S0Q4,F,45,6,28,1,Quinn,sheep,wooly,fluffy,dumb,2,0.15,0.2,0.925
A26FUTGDW7S0Q4,F,45,6,23,2,Matt,ox,strong,big,slow,4,0.95,0.95,0.275
A26FUTGDW7S0Q4,F,45,6,26,3,Kenneth,rabbit,fast,furry,cute,1,0.95,0.025,0.025
A26FUTGDW7S0Q4,F,45,6,10,4,Eric,dolphin,smart,friendly,playful,4,0.575,0.825,0.95
A26FUTGDW7S0Q4,F,45,6,25,5,Victor,pig,dirty,fat,smelly,2,0.925,0.875,0.9
A26FUTGDW7S0Q4,F,45,6,22,6,Jake,owl,wise,quiet,nocturnal,4,0.925,0.95,0.325
A26FUTGDW7S0Q4,F,45,6,9,7,Ivan,dog,loyal,friendly,happy,1,0.95,0.25,0.25
A26FUTGDW7S0Q4,F,45,6,27,8,Calvin,shark,scary,mean,dangerous,2,0.2,0.775,0.55
A26FUTGDW7S0Q4,F,45,6,21,9,Alex,monkey,funny,smart,playful,4,0.925,0.1,0.95
A26FUTGDW7S0Q4,F,45,6,18,10,Gary,horse,fast,strong,beautiful,3,0.925,0.325,0
A26FUTGDW7S0Q4,F,45,6,31,11,Jeff,wolf,scary,mean,angry,1,0.95,0.45,0.425
A26FUTGDW7S0Q4,F,45,6,3,12,Winston,bear,scary,big,fierce,3,0.925,0.25,0.2
A26FUTGDW7S0Q4,F,45,6,17,13,George,goose,loud,mean,annoying,4,0.925,0.25,0.375
A26FUTGDW7S0Q4,F,45,6,4,14,Tom,bee,busy,small,angry,3,0.95,0.025,0.025
A26FUTGDW7S0Q4,F,45,6,13,15,Barry,fish,scaly,wet,smelly,3,0.95,0.35,0.6
A26FUTGDW7S0Q4,F,45,6,29,16,Luke,tiger,striped,fierce,scary,3,0.075,0.375,0.4
A26FUTGDW7S0Q4,F,45,6,19,17,Harry,kangaroo,jumpy,bouncy,cute,4,0.925,0.95,0.325
A26FUTGDW7S0Q4,F,45,6,15,18,Steve,frog,slimy,noisy,jumpy,1,0.7,0.05,0.05
A26FUTGDW7S0Q4,F,45,6,2,19,Charles,bat,scary,blind,nocturnal,3,0.925,0.025,0.025
A26FUTGDW7S0Q4,F,45,6,7,20,Zach,cat,independent,lazy,soft,3,0.925,0.05,0.025
A26FUTGDW7S0Q4,F,45,6,14,21,Nathan,fox,sly,smart,cunning,1,0.975,0.975,0.95
A26FUTGDW7S0Q4,F,45,6,24,22,Daniel,penguin,cold,cute,funny,1,0.875,0.025,0.025
A26FUTGDW7S0Q4,F,45,6,1,23,Patrick,ant,small,strong,busy,3,0.975,0.025,0.025
A26FUTGDW7S0Q4,F,45,6,12,24,Owen,elephant,huge,smart,heavy,2,0.8,0.8,0.825
A26FUTGDW7S0Q4,F,45,6,16,25,Robert,goat,funny,hungry,loud,1,0.9,0,0.125
