categoryID,animal,f1,f2,f3,N,featureProb,sd,se,ci,feature,featureNum,category
23,ox,strong,big,slow,40,0.883125,0.091003575,0.014388929,0.029104355,strong,1,animal
23,ox,strong,big,slow,40,0.880625,0.097810567,0.015465209,0.031281337,big,2,animal
23,ox,strong,big,slow,40,0.760625,0.169547616,0.026807832,0.054223958,slow,3,animal
23,ox,strong,big,slow,40,0.555625,0.146266299,0.023126732,0.046778232,strong,1,person
23,ox,strong,big,slow,40,0.53125,0.109302861,0.0172823,0.034956751,big,2,person
23,ox,strong,big,slow,40,0.5275,0.100288047,0.015856932,0.032073673,slow,3,person
24,penguin,cold,cute,funny,40,0.685625,0.186386652,0.029470317,0.059609343,cold,1,animal
24,penguin,cold,cute,funny,40,0.7675,0.164881465,0.026070049,0.052731651,cute,2,animal
24,penguin,cold,cute,funny,40,0.655,0.232751105,0.036801181,0.074437415,funny,3,animal
24,penguin,cold,cute,funny,40,0.4325,0.152983156,0.024188761,0.048926387,cold,1,person
24,penguin,cold,cute,funny,40,0.54875,0.152852157,0.024168048,0.048884492,cute,2,person
24,penguin,cold,cute,funny,40,0.589375,0.141181768,0.022322798,0.04515212,funny,3,person
25,pig,dirty,fat,smelly,40,0.7075,0.189398508,0.029946534,0.060572582,dirty,1,animal
25,pig,dirty,fat,smelly,40,0.75625,0.147168794,0.023269429,0.047066864,fat,2,animal
25,pig,dirty,fat,smelly,40,0.725,0.205610411,0.03250986,0.0657574,smelly,3,animal
25,pig,dirty,fat,smelly,40,0.494375,0.144945558,0.022917905,0.046355838,dirty,1,person
25,pig,dirty,fat,smelly,40,0.5675,0.115913319,0.018327505,0.037070878,fat,2,person
25,pig,dirty,fat,smelly,40,0.473125,0.161759902,0.025576486,0.051733327,smelly,3,person
26,rabbit,fast,furry,cute,40,0.794375,0.121487509,0.019208862,0.03885359,fast,1,animal
26,rabbit,fast,furry,cute,40,0.85625,0.112339629,0.017762455,0.035927956,furry,2,animal
26,rabbit,fast,furry,cute,40,0.78875,0.14321738,0.022644656,0.04580314,cute,3,animal
26,rabbit,fast,furry,cute,40,0.536875,0.146430554,0.023152703,0.046830763,fast,1,person
26,rabbit,fast,furry,cute,40,0.185,0.18834638,0.029780178,0.060236095,furry,2,person
26,rabbit,fast,furry,cute,40,0.5375,0.147196014,0.023273733,0.047075569,cute,3,person
27,shark,scary,mean,dangerous,40,0.7375,0.216617351,0.034250211,0.06927759,scary,1,animal
27,shark,scary,mean,dangerous,40,0.54375,0.262492369,0.041503688,0.083949132,mean,2,animal
27,shark,scary,mean,dangerous,40,0.74625,0.175187628,0.027699596,0.056027722,dangerous,3,animal
27,shark,scary,mean,dangerous,40,0.45125,0.154520557,0.024431845,0.049418072,scary,1,person
27,shark,scary,mean,dangerous,40,0.49375,0.146513979,0.023165894,0.046857444,mean,2,person
27,shark,scary,mean,dangerous,40,0.451875,0.185999337,0.029409077,0.059485474,dangerous,3,person
28,sheep,wooly,fluffy,dumb,40,0.875,0.08660254,0.013693064,0.027696836,wooly,1,animal
28,sheep,wooly,fluffy,dumb,40,0.856875,0.096074807,0.015190761,0.030726214,fluffy,2,animal
28,sheep,wooly,fluffy,dumb,40,0.58125,0.219538414,0.034712071,0.070211791,dumb,3,animal
28,sheep,wooly,fluffy,dumb,40,0.1175,0.134116291,0.021205648,0.042892471,wooly,1,person
28,sheep,wooly,fluffy,dumb,40,0.12375,0.135394722,0.021407785,0.043301333,fluffy,2,person
28,sheep,wooly,fluffy,dumb,40,0.493125,0.12351522,0.019529471,0.039502084,dumb,3,person
29,tiger,striped,fierce,scary,40,0.905625,0.086322201,0.013648738,0.027607179,striped,1,animal
29,tiger,striped,fierce,scary,40,0.83375,0.137228753,0.021697771,0.043887885,fierce,2,animal
29,tiger,striped,fierce,scary,40,0.763125,0.206309723,0.032620431,0.065981051,scary,3,animal
29,tiger,striped,fierce,scary,40,0.101875,0.156523479,0.024748535,0.050058637,striped,1,person
29,tiger,striped,fierce,scary,40,0.39125,0.174821337,0.02764168,0.055910576,fierce,2,person
29,tiger,striped,fierce,scary,40,0.399375,0.159876505,0.025278695,0.051130987,scary,3,person
30,whale,large,graceful,majestic,40,0.89,0.107982667,0.017073559,0.034534532,large,1,animal
